Sample_Treatment,Study,SRA_Sample_ID,Lab_Sample_ID,Run_ID,Species,Sex,Tissue,Treatment_Group,Drug,Abstinence_Length,Instrument_Name,Lane
SRS5770694_C1abs,Carpenter,SRS5770694,COCAINE NAC 1,1,Mus musculus,Male,Nucleus Accumbens (whole),C1abs,Cocaine,1d,K00315,1
SRS5770695_C1abs,Carpenter,SRS5770695,COCAINE NAC 2,1,Mus musculus,Male,Nucleus Accumbens (whole),C1abs,Cocaine,1d,K00316,1
SRS5770696_C1abs,Carpenter,SRS5770696,COCAINE NAC 3,1,Mus musculus,Male,Nucleus Accumbens (whole),C1abs,Cocaine,1d,K00317,1
SRS5770697_C1abs,Carpenter,SRS5770697,COCAINE NAC 4,1,Mus musculus,Male,Nucleus Accumbens (whole),C1abs,Cocaine,1d,K00318,1
SRS5770698_C1abs,Carpenter,SRS5770698,COCAINE NAC 5,1,Mus musculus,Male,Nucleus Accumbens (whole),C1abs,Cocaine,1d,K00319,1
SRS5770699_C1abs,Carpenter,SRS5770699,COCAINE NAC 6,1,Mus musculus,Male,Nucleus Accumbens (whole),C1abs,Cocaine,1d,K00320,1
SRS5770700_S1abs,Carpenter,SRS5770700,SALINE NAC 1,1,Mus musculus,Male,Nucleus Accumbens (whole),S1abs,Saline,1d,K00321,1
SRS5770701_S1abs,Carpenter,SRS5770701,SALINE NAC 2,1,Mus musculus,Male,Nucleus Accumbens (whole),S1abs,Saline,1d,K00322,1
SRS5770702_S1abs,Carpenter,SRS5770702,SALINE NAC 3,1,Mus musculus,Male,Nucleus Accumbens (whole),S1abs,Saline,1d,K00323,1
SRS5770703_S1abs,Carpenter,SRS5770703,SALINE NAC 4,1,Mus musculus,Male,Nucleus Accumbens (whole),S1abs,Saline,1d,K00324,1
SRS5770704_S1abs,Carpenter,SRS5770704,SALINE NAC 5,1,Mus musculus,Male,Nucleus Accumbens (whole),S1abs,Saline,1d,K00325,1
SRS5770705_S1abs,Carpenter,SRS5770705,SALINE NAC 6,1,Mus musculus,Male,Nucleus Accumbens (whole),S1abs,Saline,1d,K00326,1
SRS5770730_C28abs,Carpenter,SRS5770730,COCAINE NAC 7,2,Mus musculus,Male,Nucleus Accumbens (whole),C28abs,Cocaine,28d,K00275,2
SRS5770731_C28abs,Carpenter,SRS5770731,COCAINE NAC 8,2,Mus musculus,Male,Nucleus Accumbens (whole),C28abs,Cocaine,28d,K00276,2
SRS5770732_C28abs,Carpenter,SRS5770732,COCAINE NAC 9,2,Mus musculus,Male,Nucleus Accumbens (whole),C28abs,Cocaine,28d,K00277,2
SRS5770733_C28abs,Carpenter,SRS5770733,COCAINE NAC 10,2,Mus musculus,Male,Nucleus Accumbens (whole),C28abs,Cocaine,28d,K00278,2
SRS5770734_C28abs,Carpenter,SRS5770734,COCAINE NAC 11,2,Mus musculus,Male,Nucleus Accumbens (whole),C28abs,Cocaine,28d,K00279,2
SRS5770735_C28abs,Carpenter,SRS5770735,COCAINE NAC 12,2,Mus musculus,Male,Nucleus Accumbens (whole),C28abs,Cocaine,28d,K00280,2
SRS5770736_S28abs,Carpenter,SRS5770736,SALINE NAC 7,2,Mus musculus,Male,Nucleus Accumbens (whole),S28abs,Saline,28d,K00281,2
SRS5770737_S28abs,Carpenter,SRS5770737,SALINE NAC 8,2,Mus musculus,Male,Nucleus Accumbens (whole),S28abs,Saline,28d,K00282,2
SRS5770738_S28abs,Carpenter,SRS5770738,SALINE NAC 10,2,Mus musculus,Male,Nucleus Accumbens (whole),S28abs,Saline,28d,K00283,2
SRS5770739_S28abs,Carpenter,SRS5770739,SALINE NAC 9,2,Mus musculus,Male,Nucleus Accumbens (whole),S28abs,Saline,28d,K00284,2
SRS5770740_S28abs,Carpenter,SRS5770740,SALINE NAC 11,2,Mus musculus,Male,Nucleus Accumbens (whole),S28abs,Saline,28d,K00285,2
SRS5770741_S28abs,Carpenter,SRS5770741,SALINE NAC 12,2,Mus musculus,Male,Nucleus Accumbens (whole),S28abs,Saline,28d,K00286,2
